ID,marital,housing,loan,contact,y
1,married,yes,no,unknown,否
2,divorced,yes,no,cellular,否
3,married,yes,no,unknown,否
4,single,no,yes,unknown,否
5,single,no,no,cellular,否
6,single,yes,no,cellular,否
7,single,no,no,cellular,否
8,married,no,no,cellular,否
9,married,no,no,cellular,否
10,single,yes,no,unknown,否
11,married,yes,no,cellular,否
4929,married,no,no,cellular,否
4930,married,no,no,cellular,否
4931,married,yes,no,unknown,否
4932,married,no,no,cellular,否
4933,married,yes,no,cellular,否
4934,married,no,no,cellular,否
4935,single,yes,yes,cellular,否
4936,single,yes,no,unknown,否
4937,single,yes,no,cellular,否
4938,divorced,yes,no,cellular,否
4939,single,no,no,cellular,否
4940,single,no,no,cellular,否
4941,married,no,no,cellular,否
4942,married,yes,yes,unknown,否
4943,married,no,no,cellular,否
4944,married,no,no,cellular,否
4945,married,yes,no,cellular,否
4946,married,no,no,cellular,否
4947,married,no,no,cellular,否
4948,single,yes,yes,unknown,否
4949,married,yes,no,cellular,否
4950,single,no,no,telephone,否
4951,married,yes,no,cellular,否
4952,single,yes,no,cellular,否
4953,married,yes,no,cellular,否
4954,married,yes,no,unknown,否
4955,single,yes,yes,unknown,否
4956,married,yes,no,unknown,否
4957,divorced,no,no,cellular,否
4958,divorced,no,no,cellular,否
4959,married,yes,no,cellular,否
4960,married,yes,no,unknown,否
4961,single,yes,no,unknown,否
4962,married,no,no,cellular,否
4963,single,yes,no,unknown,否
4964,single,yes,no,cellular,否
4965,married,yes,no,cellular,否
4966,single,no,no,cellular,否
4967,married,yes,no,unknown,否
4968,married,no,no,cellular,否
4969,married,yes,no,unknown,否
4970,married,no,no,cellular,否
4971,married,no,no,telephone,否
4972,married,yes,no,cellular,否
4973,married,yes,no,unknown,否
4974,married,yes,no,unknown,否
4975,married,yes,no,cellular,否
4976,married,yes,yes,telephone,否
4977,single,yes,no,cellular,否
4978,divorced,no,no,cellular,否
4979,married,yes,no,unknown,否
4980,married,yes,yes,cellular,否
4981,married,no,no,cellular,否
4982,married,yes,yes,cellular,否
4983,married,yes,yes,unknown,否
4984,married,no,no,cellular,否
4985,single,yes,no,cellular,否
4986,married,yes,no,telephone,否
4987,married,yes,no,cellular,否
4988,married,yes,no,unknown,否
4989,married,no,yes,cellular,否
4990,married,no,no,cellular,否
4991,married,yes,no,cellular,否
4992,divorced,no,no,cellular,否
4993,single,yes,yes,cellular,否
4994,divorced,no,no,cellular,否
4995,divorced,yes,no,telephone,否
4996,married,yes,no,unknown,否
4997,single,yes,no,unknown,否
4998,single,yes,no,cellular,否
4999,married,no,no,cellular,否
5000,married,yes,no,cellular,否
5001,married,no,no,unknown,否
5002,single,yes,no,cellular,否
5003,divorced,yes,no,unknown,否
5004,married,yes,no,unknown,否
5005,single,yes,no,unknown,否
5006,married,yes,no,cellular,否
5007,married,yes,no,cellular,否
5008,single,yes,no,cellular,否
5009,married,no,no,cellular,否
5010,married,no,no,cellular,否
5011,married,no,no,unknown,否
5012,single,no,no,unknown,否
5013,single,yes,no,unknown,否
5014,married,yes,no,unknown,否
5015,divorced,no,no,cellular,否
5016,single,yes,no,cellular,否
5017,divorced,yes,no,unknown,否
5018,married,no,no,unknown,否
5019,married,yes,no,cellular,否
5020,single,no,no,unknown,否
5021,married,yes,no,unknown,否
5022,married,no,yes,cellular,否
5023,divorced,no,no,cellular,否
5024,married,yes,yes,unknown,否
5025,married,no,no,cellular,否
5026,married,no,yes,cellular,否
5027,married,no,no,unknown,否
5028,married,no,no,unknown,否
5029,married,yes,no,cellular,否
5030,married,yes,no,cellular,否
5031,single,no,no,cellular,否
5032,married,no,no,cellular,否
5033,single,no,no,cellular,否
5034,married,no,no,cellular,否
5035,married,yes,yes,cellular,否
5036,married,yes,yes,cellular,否
5037,divorced,yes,no,cellular,否
5038,married,yes,no,unknown,否
5039,single,no,no,cellular,否
5040,married,yes,no,cellular,否
5041,married,yes,no,cellular,否
5042,divorced,yes,no,cellular,否
5043,single,yes,no,unknown,否
5044,married,no,no,cellular,否
5045,married,yes,no,unknown,否
5046,married,yes,no,unknown,否
5047,married,yes,no,unknown,否
5048,single,yes,yes,unknown,否
5049,married,no,no,telephone,否
5050,married,yes,no,unknown,否
5051,married,yes,no,telephone,否
5052,married,yes,no,cellular,否
5053,married,no,no,cellular,否
5054,divorced,no,no,telephone,否
5055,single,yes,no,unknown,否
5056,married,yes,no,unknown,否
5057,married,no,no,unknown,否
5058,single,yes,yes,telephone,否
5059,married,no,no,cellular,否
5060,married,yes,no,cellular,否
5061,divorced,yes,no,cellular,否
5062,married,yes,no,cellular,否
5063,divorced,yes,yes,cellular,否
5064,married,yes,no,unknown,否
5065,married,yes,no,unknown,否
5066,married,yes,no,cellular,否
5067,married,yes,yes,cellular,否
5068,single,yes,no,unknown,否
